,tweet,language
0,,hi
1,extend condolences family gen bipin rawat wife unprecedented tragedy thoughts family difficult time heartfelt condolences also others lost lives india stands united grief,en
2,hoping safety cds general bipin rawat wife others onboard chopper prayers speedy recovery,en
3,,hi
4,msp,hi
5,pm,hi
6,,hi
7,heart wrenching goi must give real reply exactly home ministry neither civilians security personnel safe land,en
8,,hi
9,comes people pain amp loss goi sleeping let wake,en
10,,hi
11,interaction members press farmers crisis,en
12,pm msp,hi
13,,hi
14,want,hi
15,,hi
16,,hi
17,msp,hi
18,,hi
19,,hi
20,,hi
21,new variant serious threat high time goi gets serious providing vaccine security countrymen bad vaccination figures hidden long behind one man photo,en
22,,hi
23,,hi
24,first death anniversary remember shri ahmed patel ji great respect affection losing tremendous loss congress family memory remains guiding light party dearly missed,en
25,,hi
26,gst,hi
27,,hi
28,pm continues,hi
29,floods causing serious damage andhra pradesh condolence lost loved ones dear congress workers please help ways possible,en
30,,hi
31,,hi
32,,hi
33,,hi
34,,hi
35,,hi
36,punishment speaking truth clear falsehood power,en
37,,hi
38,,hi
39,brothers amp sisters kerala braving heavy rains appeal congress workers help every way possible please take care follow safety guidelines,en
40,,hi
41,need generation peace pandit jawaharlal nehru remembering india first prime minister greatly valued truth unity peace,en
42,bitcoin scam big bitcoin scam cover much bigger cover someone fake big ego,en
43,,hi
44,mr,hi
45,national security unpardonably compromised goi strategy mr scared thoughts soldiers risking lives guard borders goi churns lies,en
46,incessant rains chennai become cause worry requesting brothers amp sisters state follow safety measures appeal congress workers please help relief amp rescue work take care,en
47,,hi
48,,hi
49,,hi
50,,hi
51,,hi
52,,hi
53,pointing call corrective action bjp favourite cover tactic shooting messenger truth silenced,en
54,,hi
55,interaction dinner friends st joseph matric hr sec school mulagumoodu kanyakumari tn visit made diwali even special confluence cultures country biggest strength must preserve,en
56,slightly smiling face,und
57,,hi
58,,hi
59,,hi
60,business people farmers victims goi bad policies repair economy save lives,en
61,,hi
62,every victory congress victory party worker keep fighting hate fear,und
63,dear virat people filled hate nobody gives love forgive protect team,en
64,goa deserves capable leadership goa deserves cultural conservation goa deserves congenial development goa deserves congress stand goa better tomorrow,en
65,,hi
66,,hi
67,state india formed foundation democratic values need protected costs best wishes brothers amp sisters state formation days,en
68,,hi
69,,hi
70,,hi
71,let kick new era goa,en
72,dear fisherfolk brothers amp sisters interaction today sea emotions together let save spirit environment culture goa,en
73,live interaction goa fisherfolk special lives livelihoods need special attention,en
74,,hi
75,heartfelt condolences family friends fans kannada actor puneeth rajkumar gone soon,en
76,,hi
77,,hi
78,,hi
79,,hi
80,,hi
81,live interaction press regarding threat national privacy goi pegasus spying,en
82,,hi
83,jumla version vaccine story save lives actual vaccination,en
84,,hi
85,mohammad people filled hate nobody gives love forgive,en
86,,hi
87,,hi
88,usual doublespeak,en
89,goi playing cruel joke public,und
90,,hi
91,,hi
92,,hi
93,best wishes occasion milad un nabi may guided spirit compassion peace amp brotherhood,en
94,stop,hi
95,,hi
96,thoughts people kerala please stay safe follow safety precautions,en
97,goi foreign policy lose friends influence nobody,en
98,,hi
99,,hi
100,,hi
101,mr,hi
102,,hi
103,china stay land,en
104,pm silent pm violent,hi
105,,hi
106,,hi
107,,hi
108,lpg,hi
109,,hi
110,,hi
111,folded hands,hi
112,,hi
113,,hi
114,,hi
115,,hi
116,live,hi
117,,hi
118,,hi
119,,hi
120,mr,hi
121,condolences family friends smt tajdar babar ji remember commitment towards people delhi values congress party,en
122,,hi
123,,hi
124,,hi
125,,hi
126,,hi
127,,hi
128,,hi
129,,hi
130,,hi
131,mr scared china mr,en
132,assam state sponsored fire stand solidarity brothers sisters state children india deserve,en
133,,hi
134,,hi
135,,hi
136,facing new war paradigm borders ignoring work,en
137,congratulations shri charanjit singh channi ji new responsibility must continue fulfill promises made people punjab trust paramount importance,en
138,event,und
139,looking forward many days crore pace country needs,en
140,,hi
141,freedom courage equality thinking great birth anniversary,en
142,happy birthday modi ji,en
143,spent time family shri oscar fernandes ji paid last respects friend guide true soldier congress party,en
144,,hi
145,,hi
146,,hi
147,heartfelt condolences family friends shri oscar fernandes ji personal loss guide mentor many us congress party missed fondly remembered contributions,en
148,,hi
149,sunday monday,hi
150,,hi
151,thumbs,hi
152,,hi
153,,hi
154,,hi
155,silent observations,en
156,,hi
157,goi blind students distress postpone exam let fair chance,en
158,come end celebrate winners must congratulate participants gave best even win medal india embracing everyone win hard work intentions matter,en
159,,hi
160,,hi
161,,hi
162,main exam breached students appearing competitive exams prepare hard battling difficulties various kinds nation owe fair exam goi better providing cover ups,en
163,psu psb msme,hi
164,,hi
165,gdp,hi
166,live conversation members press regarding goi relentless price hike,en
167,,hi
168,struggle freedom understand,en
169,,hi
170,congratulations sumit antil nation applauds record breaking grit determination,en
171,,hi
172,devendra jhajharia sundar singh gurjar respectively men javelin throw f event big congratulations good morning sports india,en
173,congratulations yogesh kathuniya nation stands proud inspirational achievements,en
174,morning starts great news avni lakhera winning big congratulations another daughter makes india proud,en
175,,hi
176,big day sports india vinod kumar wins men discus throw f setting new asian record congratulations whole country joins celebrating achievement,en
177,another india national sports day congratulations nishad kumar stellar performance done country proud,en
178,,hi
179,congratulations bhavina patel winning india applauds achievement done nation proud,en
180,,hi
181,bjp income rose bjp,en
182,,hi
183,,hi
184,thumbs thumbs,und
185,rising numbers worrying vaccination must pick pace avoid serious outcomes next wave please take care goi busy sales,en
186,,hi
187,,hi
188,pm,hi
189,great going ravi dahiya congratulations wrestling way,en
190,,hi
191,congratulations indian men hockey team big moment whole country proud achievement well deserved victory,en
192,congratulations boxer done country proud,en
193,tweet withheld india response legal demand learn,hi
194,pm,hi
195,,hi
196,,hi
197,one priority country people,und
198,,hi
199,mr modi minions ceded thousands km indian land china exactly getting back,en
200,indian hockey team well played thumbs thumbs,en
201,big congratulations pv sindhu winning second medal india,en
202,,hi
203,,hi
204,,hi
205,,hi
206,rising cases coronavirus infections kerala worrying appeal brothers sisters state follow safety measures amp guidelines please take care,en
207,massive corruption deal right know speak mind even minority one truth still truth mahatma gandhi,en
208,,hi
209,,hi
210,sitting entire opposition extremely humbling amazing experience wisdom insight everyone present,en
211,,hi
212,,hi
213,heartfelt condolences families killed hope injured recover soon hm failed country yet sowing hatred distrust lives people india reaping dreadful consequences,en
214,india proud effort another step towards success,en
215,,hi
216,,hi
217,goi clueless handle china ignoring actions cause huge problems future,en
218,,hi
219,,hi
220,,hi
221,,hi
222,congratulations country first medal first day india proud daughter,en
223,,hi
224,people lives line goi admits timeline classic case missing spine,en
225,heartfelt condolences bereaved families appeal congress workers assist relief rescue work rains continue cause disaster disruptions many parts maharashtra please stay safe,en
226,pm hm,hi
227,best indian athletes participating pandemic rendered olympic games one kind please stay safe best wishes,en
228,thoughts brothers sisters telangana facing massive floods appeal congress workers provide possible assistance rescue operations still warnings heavy rainfall please take care stay safe,en
229,,hi
230,,hi
231,,hi
232,truth goi wrong decisions covid second wave killed lakh sisters brothers mothers fathers,en
233,,hi
234,everyone,hi
235,,hi
236,,hi
237,,hi
238,know reading everything phone,en
239,,hi
240,thank superb book recommendations one absolutely love,en
241,congress,hi
242,,hi
243,,hi
244,wondering guys reading days,en
245,condolences family friends danish siddiqui appeal goi facilitate bringing mortal remains back home earliest,en
246,,hi
247,welcome observation supreme court,und
248,,hi
249,,hi
250,goi use foreign defence policy domestic political tool weakened country india never vulnerable,en
251,,hi
252,come rain shine respite goi economic mess,en
253,,hi
254,thoughts prayers people himachal pradesh amp uttarakhand appeal congress workers affected areas lend helping hand please stay safe,en
255,,hi
256,condolences passing supreme head malankara orthodox syrian church india holiness baselios marthoma paulose ii along contributions religious head remembered humanitarian work homeless,en
257,,hi
258,,und
259,,hi
260,please keep guard follow precautionary protocols,en
261,,hi
262,pm,hi
263,mean vaccine shortage,en
264,shri virbhadra singh ji stalwart true sense commitment serving people congress party remained exemplary till end condolences family friends miss,en
265,,hi
266,heartfelt condolences family friends amp fans dilip kumar ji extraordinary contribution indian cinema remembered generations come,en
267,congratulations prof,en
268,,hi
269,fill blank psu psb,hi
270,heartfelt condolences passing father stan swamy deserved justice humaneness,en
271,truth silenced unlike modia,en
272,jpc,hi
273,,hi
274,mind gap,en
275,bleeding debt,en
276,,hi
277,,hi
278,every single moment spend saving lives indebted,und
279,sc,hi
280,,hi
281,long inconvenient queues public transport due covid restrictions see rates petrol diesel city find real reason,en
282,,hi
283,fm,hi
284,,hi
285,,hi
286,,hi
287,,hi
288,,hi
289,,hi
290,,hi
291,today msme sector employers facing unemployment pm distracting india present theatrics toying future,en
292,whole secret existence fear,en
293,pr,hi
294,,hi
295,,hi
296,idea behind white paper report provide insights amp information avoidable deaths prevented coming waves goi must work constructive inputs interest country,en
297,live release white paper goi management covid amp interaction press,en
298,,en
299,,hi
300,,hi
301,phd,hi
302,grateful wishes special thanks congress family love blessings amp support,und
303,thank,en
304,,hi
305,thank,en
306,,hi
307,thank,en
308,thank,en
309,thank,en
310,thank,en
311,thank,en
312,thank,en
313,thank,en
314,thank,en
315,,hi
316,thank,en
317,thank,en
318,,hi
319,shri milkha singh ji sports star source inspiration millions indians dedication resilience condolences family friends india remembers,en
320,rare day goi hike fuel prices exception proves rule prices increased everyday,en
321,congress president smt sonia gandhi pleasure meeting tamil nadu chief minister shri k stalin smt durgavathy stalin earlier today keep working dmk build strong amp prosperous state tamil people,en
322,,hi
323,sad hear demise dr kenneth david kaunda champion african freedom continue source inspiration generations come condolences family friends people zambia,en
