,tweet,language
0,wedding pics dhruv x juli,en
1,thanks wishes everyone wedding video,en
2,detailed opinion vir das controversy watch,en
3,grand victory farmers,en
4,real number national family health survey read,en
5,attitude rape cases india go unreported family mein rape hua hai make police complain family ki baat family mein hi rehne nahi toh log kya kahenge,en
6,conclusion congress power free talk problems facing india bjp power called anti national talking problems facing india,en
7,vir das kahe toh character dheela modiji aur mohanji kahe toh ras leela part,hi
8,statement made,en
9,see news link statement gets deleted,en
10,vir das kahe toh character dheela modiji kahe toh ras leela,hi
11,request stop ads,en
12,pan masala ads exposed watch video,en
13,well said tulsi works ground level greta works institutional level pressurizing govts ultimately needed without ppl like greta corrupt politicians would freely destroy forests work people like tulsi would go waste,en
14,,und
15,third pollution cars industries stubble burning complex problems slow long term solutions stop using car one month thinks otherwise firecrackers entertainment easier avoid using ppl,en
16,second firecrackers contain extremely toxic chemicals heavy metals even green ones present car exhausts industrial pollution far dangerous health,en
17,three reasons first source pollution causes massive spike time span one day would go live gas chamber one day year justify saying make impact lungs span one year,en
18,new video virat kohli fabindia ceat tanishq boycotts watch,en
19,sitting another continent enjoying clean air poisoning lungs get back acha hai keep going kind stupidity love seeing,en
20,would go live gas chamber day day,en
21,chart burnol moment liberals wokes haha agli baari phir se lecture diya toh pollute air even next saal ka target hai even liberals feel burn polluted air,en
22,comment karne aaye toh dimag ghar par bhul aaye kya,hi
23,personal car rely public transport vegetarian cut trees walk workout daily smoke already ab kuch naya reply socho ja kar,en
24,imagine something wastes money tortures pets hurts lungs puts children risk burns endangers asthmatic dadi offers seconds entertainment still feel mera culture khatre mein aa jayega otherwise,en
25,tweet firecrackers last new years developed countries new years day unhealthy air quality impact firecrackers imagine gas chamber firecrackers create indian cities already dangerous air quality,en
26,swami vivekananda video truly shaken fanatics using swamiji image spread hatred regressive agenda sharing another great quote think,en
27,swami vivekananda vs andh vishwas cow worship astrology watch video,en
28,last match arrest anti nationals cheering india loss today match happy india lost kohli deserved secular woke,en
29,wow,und
30,visiting biggest hindu temple africa watch vlog,en
31,nowadays trolls become lazy made mistake video posted correction within mins uploading video days later trolls read correction comment repost pretending discovered thodi toh mehnat khud se karo matlab,en
32,facebook officially renamed meta,en
33,one important issues ignored indian media watch video,en
34,explained whole sequence events video,en
35,multiple incidents violence happened,en
36,world becoming living example eye eye makes whole world blind,en
37,million special q amp video watch,en
38,superpower fake news,en
39,haan bhai abhi abhi khidki par aya tha superman mujhe paisa dene usne mujhe warn bhi kiya tha ki aditya neeche khada dekh lega yeh paise dete hue toh badi problem ho jayegi mujhe sunni chahiye thi uski,hi
40,course ended boycotting marvel understand difference even star anchor shows picture avengers talking superman,en
41,one favorite tv anchors started trend getting offended latest edition superman comic,en
42,believe andh bhakts boycotting superman yesterday even joking,en
43,bangladesh durga puja violence singhu border attack watch video,en
44,next video bangladesh durga puja attacks lakhbir singh singhu border attack releasing tonight,en
45,coincidentally one favorite achaar fabindia always make sure stock felt cute might delete free promotion later let enjoy dawat e khas,en
46,andh bhakts hate leftists cancel culture also andh bhakts boycott fabindia ban unacademy boycott tanishq boycott zomato ban swiggy boycott netflix boycott amazon ban surf excel ban virat kohli boycott srk boycott bollywood boycott,en
47,normal indians happy diwali safe prosperous diwali andh bhakts dare sirf humare festivals hi milte hai safe kehne ko aur prosperous wala liberal gyan bahut hua ab toh hindu khatre mein hai abhi ruk twitter par rona shuru karta hun,in
48,detailed video rise fall air india watch,en
49,global hunger index fake press freedom index wrong global democracy index biased global happiness index anti national environment protection index leftist conspiracy ease business index correct,en
50,kind argument also countries dictators countries people beheaded minor offences also countries drugs decriminalized kal ko taliban ya north korea ko bhi cite karoge kya justification ke liye,en
51,sharing secrets learn principles techniques use producing editing high quality videos special course graphy hour interactive live class th october join sounds interesting,en
52,hindutva boys obsessed saving savarkar image know single freedom fighter truly call everyone bhagat singh gandhi bose lal bahadur shashtri secular use religion politics,en
53,coal shortage india china watch video,en
54,happened lakhimpur case till watch video,en
55,pandora papers explained watch video,en
56,full story till watch,en
57,exactly,en
58,special vlog meeting masai tribe africa exploring lifestyle culture watch,en
59,clearest video lakhimpur kheri incident yet farmers walking peacefully car violently comes runs shocking,en
60,shocking footage,en
61,new video latest happenings watch,en
62,thanks abhishek,en
63,inspiring life story right village watch ground report,en
64,special thanks trolls roasters also giving constant free publicity people got access quality educational content feat achieved quicker expected,en
65,reached million subscribers youtube today big thank,en
66,mahatma gandhi try save bhagat singh special episode watch video,en
67,new ground report coming right akhada haryana village olympic champion releasing tomorrow probably,en
68,ideas watch,en
69,new ground report africa cleanest country along horrifying history watch video,en
70,new vlog kenya watch,en
71,new detailed video emergency period watch,en
72,one well animated detailed mini documentaries watch video,en
73,secret organization cleaning india ground report goes deep work done watch video,en
74,india income tax watch new video,en
75,iphone go update ios software update finally fixes bug pegasus spyware exploited spy people,en
76,news channel north korean propaganda tv,en
77,cell wants believe newspaper hires designers design ads behalf companies governments nice try defending feku master blaming newspaper,en
78,link full video,en
79,hinduism vs hindutva explained perfectly must watch interview,en
80,petrol price amp oil bonds excuse explained watch video,en
81,visiting sadar bazaar rwanda new vlog,en
82,correct,en
83,hello africa wants see daily vlogging african trip,en
84,link,en
85,released one longest detailed videos yet savarkar partition go watch,en
86,drink alcohol eat meat fascist sympathizers act surprised continuously supported ideology hell bent taking away personal freedoms want full control eat wear watch read marry etc,en
87,final episode series communism captialism socialism watch video,en
88,extremist hate monger called yati used get crazy level support bjp leaders bjp supporters till time spreading hate religions people today turned spoke bjp women,en
89,neeraj chopra bajrang punia deserve another medal showing courage openly talk unity brotherhood times,en
90,worlds expensive currency watch video,en
91,tight slap people using neeraj spreading communal hateful agenda,en
92,know india actually definition farmer learn history laws farming episode maha bharat listen,en
93,,en
94,pakistan defines good taliban bad taliban watch video,en
95,new video taliban takeover afghanistan watch,en
96,taliban completely captured afghanistan president afghanistan run away another country really taliban rise power explain video,en
97,independence day special video mini documentary partition watch,en
98,video almost mini documentary kargil war enjoy watch,en
99,congratulations messi joining psg,fr
100,wedding pics dhruv x juli,en
101,thanks wishes everyone wedding video,en
102,detailed opinion vir das controversy watch,en
103,grand victory farmers,en
104,real number national family health survey read,en
105,attitude rape cases india go unreported family mein rape hua hai make police complain family ki baat family mein hi rehne nahi toh log kya kahenge,en
106,conclusion congress power free talk problems facing india bjp power called anti national talking problems facing india,en
107,vir das kahe toh character dheela modiji aur mohanji kahe toh ras leela part,hi
108,statement made,en
109,see news link statement gets deleted,en
110,vir das kahe toh character dheela modiji kahe toh ras leela,hi
111,request stop ads,en
112,pan masala ads exposed watch video,en
