,tweet,language
0,rt live barrister participating lok sabha debate central vigilance commission amendment bill,en
1,rt arbitrary hanging carrots parties opposed bills increasing tenure cbi ed chiefs said bills,en
2,live participating lok sabha debate central vigilance commission amendment bill delhi special police establishment amendment bill,en
3,rt justice gogoi say five men behind anonymous ayodhya verdict anonymous different meaning strange,en
4,rt dangerous illegal mp asaduddin owaisi rebuttal proposed national database births deaths,en
5,rt u p tops list human rights violation cases rd year row mha hindu,en
6,rt condemn media houses trying cover inhuman act advisor nagaland government civilians killed,en
7,rt salaried jobs fell lakh entrepreneurs lakh daily wage labourers small traders increased crore p,en
8,rt sordid sage ranjan gogoi smartarse comments yes even worst crimes pp,en
9,prayers family general rawat wife deepest condolences loved ones passed away today tragic accident praying full swift recovery sole survivor group capt varun singh,en
10,rt law check constitution says absolutely nothing nrc,en
11,rt justice gogoi colleagues went taj mansingh hotel celebrate verdict terms,en
12,rt met today gave memorandum stating agreement,en
13,rt,hi
14,rt true afspa long shielded indian armed forces responsibility denied justice families harmed amit sh,en
15,rt nagaland killings direct marise shot right us signal stop flee says ambush survivor contradictin,en
16,spoke foray competitive hindutva secular parties amp rise b teams popcorn moment popcorn,en
17,rt leaders called secular parties vying narendra modi tag better hindu clone needed,en
18,rt government take garb afspa justice ensured killed labourers,en
19,rt,hi
20,rt based data released ias officers analysed representation muslims ias amp sour,en
21,rt say today demolition day read one page note,en
22,rt afspa nagaland,hi
23,rt afspa,hi
24,rt symbol oppression object hate must go spoke lok sabha light killing,en
25,removed north east kashmir impunity crimes citizens democratic society,en
26,symbol oppression object hate must go spoke lok sabha light killing,en
27,,hi
28,submitted notice adjournment motion unfortunate killings,en
29,rt heartfelt tribute vinod dua lucky mentors life would relate feelings,en
30,rt amid hysterical travel restrictions multiple rt pcr tests important remember two things doctor first revealed,en
31,rt soldiers continued fire companions despite vehicle bonnet bearing bjp flag hav,en
32,rt hyderabad samples sent genome sequencing results expected evening know,en
33,rt afspa empowers forces shoot civilians innocent guilty without provocation completely away ge,en
34,rt unprecedented bjp nagaland called indian army killing civilians war crime genocide,en
35,rt angry armed forces troops killing civilians ambush blunder december evening locals,en
36,rt surprised well trained army personnel failed differentiate militants civilians,en
37,rt dr br ambedkar views mahatma gandhi coming soon life amp times dr ambedkar,en
38,rt sawarkar refused go hunger strike gadar party prisoners many lost lives sawarkar remained unmov,en
39,rt,hi
40,shah macho removal amp statement taking back aksai china jumla chinese occupying parts ladakh arunachal shah allowed resign sacked giving adjournment motion tomorrow lok sabha,en
41,shah advisors talks nscn im failed chance succeeding lives army men kashmir avenged surgical strike playing cricket dubai immediately,en
42,earlier army assam rifles became trigger happy killed naga civilians mon modi govt willing share sovereignty separatists like nscn im result ground civilian deaths killings soldiers,en
43,condolences families lost lives nagaland today sacked peace accords fringe groups meant deceive officers killed insurgents manipur nov peace ne violence,en
44,rt disturbing news coming nagaland,en
45,rt latest vaccination status states backhand index pointing point discussion booster doses even population,en
46,rt,hi
47,rt ye naghma fasl e gul lala ka nahin paband bahar ho ke khazan la ilaha illallah,tl
