,tweet,language,mentions
0,rt simplifying post saw lot ask happens non cognizable nc complaint repo,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
1,nc,mr,[]
2,us commonly assume offence reported police provision available offences actually types cognisable fir registered non cognisable nc recorded register introducing post,en,[]
3,,mr,[]
4,folded hands light skin tone,mr,[]
5,rt,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
6,rt committed keep citizens aware every aspect process campaign covered fi,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
7,rt,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
8,rt walking police station chowky till receiving complaint copy hand,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
9,pune see many citizens unaware fir first information report process difference fir amp nc offence,und,[]
10,rt pune damini squad responds women,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
11,rt,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
12,rt domestic violence issue many face daily h,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
13,rt urge woman duress tolerat,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
14,rt,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
15,rt must together,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
16,rt,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
17,rt grateful lady cops team working came dressed traditional best decorat,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
18,rt may glow deepawali light illuminate us keep us safe,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
19,rt comment let us know,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
20,rt teams ground soft trained motto winning trust punekars ground real,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
21,rt,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
22,rt sizeable chunk police force spends entire day moving around police vehicles handling incidents,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
23,rt,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
24,rt,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
25,rt l f e l e c h n e reliable friends,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
26,rt thank kind words,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
27,rt road women safety appears long amp winding days damini squad,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
28,rt let stalker glorification movies fool,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
29,rt pune know cool defacing public property unauthorised graffiti pretty uncool,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
30,rt today police commemoration day day pa,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
31,rt always keep eye bank otp like keeps ipl trophy squinting face tongue never hand anyone easily,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
32,rt special thanks lady cops team stood ground like rock ti,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
33,bow arrow strive hard ensure light prevails dark good prevails evil everyday happy team,und,[]
34,rt strong women video little girls wanted change world amp everyday thei,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
35,rt everyday many little girls look upto us like th,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
