,tweet,language
0,spoke distinguished architect shri balkrishna doshi ji congratulated awarded royal gold medal contributions world architecture monumental works globally admired creativity uniqueness diverse nature,en
1,rajaji widely admired statesman one ardent well wishers sardar patel part letter sardar patel penned rajaji took governor general india,en
2,tributes shri c rajagopalachari jayanti remembered contributions freedom struggle administrative intellectual prowess sharing glimpse rajaji taking oath governor general notification awarded bharat ratna,en
3,happy participated summit democracy invitation president biden world largest democracy india stands ready work partners strengthen democratic values globally including multilateral fora,en
4,paid last respects gen bipin rawat wife personnel armed forces india never forget rich contribution,en
5,today mark years historic sitting constituent assembly would urge young friends know august gathering proceedings eminent stalwarts part would intellectually enriching experience,en
6,first sitting constituent assembly presided dr sachchidananda sinha eldest member assembly introduced conducted chair acharya kripalani,en
7,today years ago constituent assembly met first time distinguished people different parts india different backgrounds even differing ideologies came together one aim give people india worthy constitution tributes greats,en
8,best wishes smt sonia gandhi ji birthday praying long life good health,en
9,meine herzlichen gl ckw nsche zur wahl zum bundeskanzler deutschlands ich freue mich auf eine enge zusammenarbeit zur weiteren st rkung der strategischen partnerschaft zwischen indien und deutschland,de
10,heartiest congratulations elected federal chancellor germany look forward working closely strengthen strategic partnership india germany,en
11,india first cds gen rawat worked diverse aspects relating armed forces including defence reforms brought rich experience serving army india never forget exceptional service,en
12,gen bipin rawat outstanding soldier true patriot greatly contributed modernising armed forces security apparatus insights perspectives strategic matters exceptional passing away saddened deeply om shanti,en
13,deeply anguished helicopter crash tamil nadu lost gen bipin rawat wife personnel armed forces served india utmost diligence thoughts bereaved families,en
14,,pa
15,martyrdom sri guru teg bahadur ji unforgettable moment history fought injustice till last breath bow sri guru teg bahadur ji day sharing glimpses recent visit gurudwara sis ganj sahib delhi,en
16,birthday greetings one india respected statesmen shri parkash singh badal ji worked hard progress punjab particularly weaker sections society pray blessed long healthy life,en
17,,hi
18,,hi
19,,hi
20,,hi
21,,hi
22,,or
23,pained demise shri nanda prusty ji much respected nanda sir remembered generations due efforts spread joys education odisha drew nation attention affection weeks ago padma awards ceremony om shanti,en
24,inaugurating key projects gorakhpur,en
25,armed forces flag day would like acknowledge exemplary contributions armed forces perseverance courage outstanding would also urge contribute towards forces welfare,en
26,history jana sangh bjp stalwarts like urimajalu k rama bhat ji special place assiduously worked strengthen party karnataka served tirelessly among people saddened demise condolences family om shanti,en
27,warmly thank h e president putin visit india exchanged useful ideas expanding strategic trade amp investment energy connectivity defence science amp technology cultural cooperation also shared views important global regional issues,en
28,also inaugurate new building icmr regional medical research centre centre played key role curing people acute encephalitis syndrome government made commendable efforts last years area,en
29,makes happy gorakhpur fertiliser plant revived remaining shut years plant important order become aatmanirbhar urea production also dedicate nation aiims gorakhpur strengthen health infra,en
30,tomorrow th december special day development trajectory uttar pradesh especially purvanchal programme gorakhpur projects worth rs crore would dedicated nation,en
31,welcome india friend president putin meeting today strengthen special privileged strategic partnership initiatives take today increase scope cooperation new areas,cs
32,,hi
33,today india bangladesh commemorate maitri diwas jointly recall celebrate foundations years friendship look forward continue working h e pm sheikh hasina expand deepen ties,en
34,india vaccination drive crosses another important milestone important keep momentum strengthen fight covid yes keep following covid related protocols including masking social distancing,en
35,tributes dr ambedkar ji mahaparinirvan diwas,mr
36,thread make happy let us keep momentum inspire youth shine games field,en
37,great moments,en
38,great initiative go among young students motivate sports fitness efforts increase curiosity towards sports exercising,en
39,,hi
40,,hi
41,,hi
42,,hi
43,,hi
44,,hi
45,addressing public meeting dehradun,en
46,saddened passing away shri k rosaiah garu recall interactions served chief ministers later tamil nadu governor contributions public service remembered condolences family supporters om shanti,en
47,greetings navy day proud exemplary contributions indian navy navy widely respected professionalism outstanding courage navy personnel always forefront mitigating crisis situations like natural disasters,en
48,,hi
49,gift city gujarat represents india vibrancy democratic ethos diversity,en
50,core india fintech revolution emphasis financial inclusion,en
51,india forefront adopting latest technology world fintech exception,en
52,government india actively working strengthen infrastructure empowers persons disabilities emphasis remains equality accessibility opportunity,en
53,international day persons disabilities would like appreciate stellar achievements contributions persons disabilities india progress life journeys courage determination motivating,en
54,best wishes sisters brothers goa day feast st francis xavier may occasion spirit harmony brotherhood society,en
