,tweet,language,mentions
0,,und,[]
1,,und,[]
2,,und,[]
3,,und,[]
4,,und,[]
5,,und,[]
6,,und,[]
7,,und,[]
8,,und,[]
9,,und,[]
10,,und,[]
11,,und,[]
12,,und,[]
13,,und,[]
14,glimpses from the address by india s external affairs minister dr s jaishankar in the inaugural session of the th indian ocean conference,en,"[{'screen_name': 'drsjaishankar', 'name': 'dr. s. jaishankar', 'id': '859363899291742210'}, {'screen_name': 'meaindia', 'name': 'arindam bagchi', 'id': '441636351'}, {'screen_name': 'indiandiplomacy', 'name': 'indian diplomacy', 'id': '164213375'}, {'screen_name': 'indembabudhabi', 'name': 'india in uae', 'id': '2586978481'}]"
15,watch live on india foundation s youtube channel,en,[]
16,h e dr s jaishankar external affairs minister govt of india is speaking in the inaugural session of the th indian ocean conference organised by india foundation in abu dhabi uae watch live on india foundation s youtube channel,en,"[{'screen_name': 'drsjaishankar', 'name': 'dr. s. jaishankar', 'id': '859363899291742210'}]"
17,h e sayyid badr bin hamad bin hamood al busaidi foreign minister of oman is speaking in the inaugural session of the th indian ocean conference organised by india foundation in abu dhabi watch live,en,"[{'screen_name': 'badralbusaidi', 'name': 'badr albusaidi - بدر البوسعيدي', 'id': '819694765'}]"
18,grand opening of the th edition of indian ocean conference inaugural address by sri lankan president address by ahmed ali al sayegh watch live on india foundation s youtube channel,en,"[{'screen_name': 'gotabayar', 'name': 'gotabaya rajapaksa', 'id': '3191855185'}, {'screen_name': 'fijipm', 'name': 'frank bainimarama', 'id': '395425451'}, {'screen_name': 'faisalnasym', 'name': 'faisal naseem', 'id': '309821773'}, {'screen_name': 'drsjaishankar', 'name': 'dr. s. jaishankar', 'id': '859363899291742210'}, {'screen_name': 'badralbusaidi', 'name': 'badr albusaidi - بدر البوسعيدي', 'id': '819694765'}]"
19,h e faisal naseem hon ble vice president of maldives is speaking in the inaugural session of the th indian ocean conference organised by india foundation in abu dhabi uae watch live,en,"[{'screen_name': 'faisalnasym', 'name': 'faisal naseem', 'id': '309821773'}, {'screen_name': 'mofamv', 'name': 'ministry of foreign affairs 🇲🇻', 'id': '2919314966'}]"
20,,und,[]
21,h e josaia voreqe bainimarama hon ble prime minister fiji is speaking online in the inaugural session of the th indian ocean conference organised by india foundation in abu dhabi uae,en,"[{'screen_name': 'fijipm', 'name': 'frank bainimarama', 'id': '395425451'}, {'screen_name': 'hci_suva', 'name': 'india in fiji', 'id': '722213410880917504'}]"
