,tweet,language,mentions
0,madarsachap ke logo ko bhi kya interest hai kya gobar gau mutr,hi,[]
1,rt british pm boris johnson also announced diplomatic boycott beijing winter olympics,en,"[{'screen_name': 'meghbulletin', 'name': 'meghupdates🚨™', 'id': '155267079'}]"
2,mentioned hate hindutva hinduism,en,[]
3,madarsachap ko bula lagla hai ice ice cream ice cream laau,tl,[]
4,face tears joy face tears joy,und,[]
5,aur kamal ki baat hai logo ko defend karne ke liye foe ka vidhva vilaap shuru ho jaayega arundhati roy jaise logo ke,hi,"[{'screen_name': 'ranaayyub', 'name': 'rana ayyub', 'id': '268676434'}]"
6,ye aur ke liye volts ka shock hai,hi,"[{'screen_name': 'ranaayyub', 'name': 'rana ayyub', 'id': '268676434'}, {'screen_name': 'khanumarfa', 'name': 'arfa khanum sherwani', 'id': '113571686'}]"
7,always claimed particular community living fear today madam proved living fear scared,en,[]
8,ab ye hi jaane,hi,[]
9,bharat vanshi kaha hai yaa bhartiye kaha hai dear congressi,hi,[]
10,subramanian swamy filled petition going take pm oath italian citizenship,en,[]
11,,hi,[]
12,wonder co ty called j il learning alphabets english mean educated fake liberals,en,[]
13,jai bajrang bali folded hands folded hands,in,[]
14,face tears joy face tears joy,und,[]
15,sahi kaha bhai bas kuch jaahil hai jo iski vishvasniyata pe sawal karte hai,hi,[]
16,jai bajrang bali folded hands folded hands,in,[]
17,face tears joy face tears joy,und,[]
18,also salute general rawat wife soldiers,en,[]
19,hurts lose soldiers today lose general leader lead soldiers guide deal enemies big salute general rawat big contribution indian army imagine leave us like sir,en,[]
20,,hi,[]
21,kaun kehta hai rizwi ke tyagi convert hone se kuch log ki zali nahi,hi,[]
22,say politics bjp started also paath,en,[]
23,uk means uttrakhand,no,[]
24,beginning talking school colleges etc always oppose temple advised make university even also called pm nehru make temple instead bhel would country today free ride temple make uk capital heritage etc,en,[]
25,think debate every political party situation punjab like trust akalies aap even inc also inc declare sunil jakhar different matter,en,[]
26,end man also way bjp,en,[]
27,everyone politics either side side national security joke misbehave issue people habbit,en,[]
28,different matter win single seats personal choice like captain capable understand national security issues know deal want punjab specially border state,en,[]
29,miss siddiqui ko kaise bhul sakte hai sudhir sir ke baad vo hi humari favourite rahi hai,hi,[]
30,called samvidhan,en,[]
31,aur maryada purushottam ram ke saath jahil yaa farghna ka chimni chor babar ko bhi,hi,[]
32,good morning miss negi,en,[]
33,kab kaha koi proof hai ki log rajmata italian ko bar dancer kehte hai,hi,[]
34,ibn algebra introduce,hi,[]
35,,hi,[]
36,,hi,[]
37,,hi,[]
38,,hi,[]
39,well make community shame alligating well need defame muslims people like enough dig community grave end play victim card,en,[]
40,already quote sanghi govt told upa govt power central level released govt transferred akhilesh mayawati ab ye sanghi nahi hai,en,[]
41,face tears joy face tears joy,und,[]
42,ek private companies ko bhagane ki baat karte ho upar se kehte ho rozgar,hi,[]
43,kyo ambani adani tata ye sab pakode talte hai jo din inko gaaliya dete ho,hi,[]
44,dil sambhalke dost heart attack naa aa jaaye tumhe aur dil jali burnol ki spelling galat likh daali,hi,[]
45,want say modi settlement sonia gandhi right,en,[]
46,atleast shakha se milan soman jaise log hi nikalte hai free fund ke log nahi jinko damado waali aishwaram chahiye jinko sc bhi apne baap ki personal property lagti ho,hi,[]
47,bhai maine sawal pucha hai kyoki ek doubtful com aajkal doubt bahut rehti hai aur dusro ko bhi doubt daalti hai thoda clarification chahiye tha ulta zakhmi doctor ko daate shame shame worry main burnol bhej dunga doctor ko daatke zakhm aur badhta hai ok,hi,[]
48,time upa power state govt transfer mayawati akhilesh babua tum logo ki ga jalane ke liye political banaya aur vo dikhai bhi de raha hai,hi,[]
