,tweet,language,mentions
0,rt,hi,"[{'screen_name': 'omthanvi', 'name': 'om thanvi', 'id': '111962216'}, {'screen_name': 'dhruv_rathee', 'name': 'dhruv rathee 🇮🇳', 'id': '730520573701443584'}]"
1,one detailed videos exposing hinduphobia narrative watch,en,[]
2,problem classism watch video,en,[]
3,vinod dua ji one first people ever interviewed took inspiration started youtube channel truly inspiring personality work remembered forever rest peace folded hands,en,[]
4,visiting mosques turkey watch vlog,en,[]
5,rt short video showing gdp still real recovery,en,"[{'screen_name': 'aunindyoc', 'name': 'aunindyo chakravarty iii', 'id': '842306582973190145'}]"
6,wedding pics dhruv x juli red heart,en,[]
7,thanks wishes everyone red heart wedding video,en,[]
8,detailed opinion vir das controversy watch,en,[]
9,never forget labeled farmers terrorists khalistanis standing rights news channels demonized protestors day night hundreds farmers killed course protest,en,[]
10,yesterday godi media telling farm laws masterstroke today onwards godi media start telling repealing farm laws masterstroke face tears joy,en,[]
11,grand victory farmers red heart,en,[]
12,real number national family health survey read backhand index pointing,en,[]
13,attitude rape cases india go unreported family mein rape hua hai make police complain family ki baat family mein hi rehne nahi toh log kya kahenge,en,[]
14,conclusion congress power free talk problems facing india bjp power called anti national talking problems facing india,en,[]
15,vir das kahe toh character dheela modiji aur mohanji kahe toh ras leela part backhand index pointing,hi,[]
16,statement made,en,[]
17,see news link statement gets deleted,en,[]
18,vir das kahe toh character dheela modiji kahe toh ras leela face tears joy backhand index pointing,hi,[]
19,request stop ads,en,"[{'screen_name': 'iamsrk', 'name': 'shah rukh khan', 'id': '101311381'}, {'screen_name': 'ranveerofficial', 'name': 'ranveer singh', 'id': '68497896'}, {'screen_name': 'ajaydevgn', 'name': 'ajay devgn', 'id': '65659343'}, {'screen_name': 'ihrithik', 'name': 'hrithik roshan', 'id': '113419517'}, {'screen_name': 'beingsalmankhan', 'name': 'salman khan', 'id': '132385468'}]"
20,pan masala ads exposed watch video,en,[]
21,rt everybody passion blaming farmers seen crackers burnt delhi last days sc air,en,"[{'screen_name': 'pti_news', 'name': 'press trust of india', 'id': '245687754'}]"
22,rt movement climate justice steps every level important whether planting trees flighting policy,en,"[{'screen_name': 'vrikshit', 'name': 'vrikshit foundation ®', 'id': '1130039606403977216'}]"
23,well said tulsi works ground level greta works institutional level pressurizing govts ultimately needed without ppl like greta corrupt politicians would freely destroy forests work people like tulsi would go waste,en,[]
24,grinning face sweat grinning face sweat,und,[]
25,koi nahi agle saal phir se world cup hai waise bhi use trophy one year,en,[]
26,rt government trade mark made ad net zero surprisingly honest informative sparkles feat,en,"[{'screen_name': 'thejuicemedia', 'name': 'thejuicemedia', 'id': '164929952'}]"
27,third pollution cars industries stubble burning complex problems slow long term solutions stop using car one month thinks otherwise firecrackers entertainment easier avoid using ppl,en,"[{'screen_name': 'flyingbeast320', 'name': 'gaurav taneja', 'id': '959285621490515969'}]"
28,second firecrackers contain extremely toxic chemicals heavy metals even green ones present car exhausts industrial pollution far dangerous health,en,[]
29,three reasons first source pollution causes massive spike time span one day would go live gas chamber one day year justify saying make impact lungs span one year,en,[]
30,new video virat kohli fabindia ceat tanishq boycotts watch,en,[]
31,sitting another continent enjoying clean air poisoning lungs get back acha hai keep going kind stupidity love seeing face tears joy clapping hands,en,[]
32,would go live gas chamber day day,en,[]
33,chart burnol moment liberals wokes haha agli baari phir se lecture diya toh pollute air even next saal ka target hai even liberals feel burn polluted air fire smirking face,en,[]
34,comment karne aaye toh dimag ghar par bhul aaye kya,hi,[]
35,personal car rely public transport vegetarian cut trees walk workout daily smoke already ab kuch naya reply socho ja kar face tears joy,en,[]
36,imagine something wastes money tortures pets hurts lungs puts children risk burns endangers asthmatic dadi offers seconds entertainment still feel mera culture khatre mein aa jayega otherwise face tears joy,en,[]
37,tweet firecrackers last new years developed countries new years day unhealthy air quality impact firecrackers imagine gas chamber firecrackers create indian cities already dangerous air quality,en,[]
38,swami vivekananda video truly shaken fanatics using swamiji image spread hatred regressive agenda sharing another great quote think face blowing kiss,en,[]
39,swami vivekananda vs andh vishwas cow worship astrology watch video,en,[]
40,last match arrest anti nationals cheering india loss today match happy india lost kohli deserved secular woke,en,[]
41,wow grinning face sweat,und,[]
